#domain,ioc
service-kpy719kw-1252391081.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-li2y5xbg-1314775489.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ln38c3rd-1257826321.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-maoif4bl-1313584875.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-mewxt0rn-1251826339.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-mph8ibgh-1309275416.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-mtrar14d-1316554402.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ohpiv7vr-1310764774.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-plcnurt7-1300693486.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-pzmjnxrc-1306912653.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-rb9ef747-1302014318.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
services-us-texas-m-1.skytap.com,Possible Cobalt Strike C2 Domain
sinatxbaidu.oneneo.xyz,Possible Cobalt Strike C2 Domain
skywalker.centralus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
smss.svchost.co,Possible Cobalt Strike C2 Domain
srvupdate.duckdns.org,Possible Cobalt Strike C2 Domain
stop.lycanfinance.com,Possible Cobalt Strike C2 Domain
strategigears.com,Possible Cobalt Strike C2 Domain
study.accesscam.org,Possible Cobalt Strike C2 Domain
study.gleeze.com,Possible Cobalt Strike C2 Domain
success.ehealthsimplified.com,Possible Cobalt Strike C2 Domain
support.azrue-mircosoft.com,Possible Cobalt Strike C2 Domain
surplusofer.com,Possible Cobalt Strike C2 Domain
takaelot.com,Possible Cobalt Strike C2 Domain
tavositaru.co,Possible Cobalt Strike C2 Domain
ternocorg.cf,Possible Cobalt Strike C2 Domain
test.227api.com,Possible Cobalt Strike C2 Domain
test.g-security.cn,Possible Cobalt Strike C2 Domain
test.gxzf.site,Possible Cobalt Strike C2 Domain
test1.imortal.icu,Possible Cobalt Strike C2 Domain
test2.imortal.icu,Possible Cobalt Strike C2 Domain
test3.imortal.icu,Possible Cobalt Strike C2 Domain
tmall.com,Possible Cobalt Strike C2 Fronting Domain
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain
update.asiainfo-sec.com,Possible Cobalt Strike C2 Fronting Domain
update.asiainfo-sec.com.cdn.dnsv1.com.cn,Possible Cobalt Strike C2 Fronted Domain
update.microsoftapply.com,Possible Cobalt Strike C2 Domain
update.microsofthk.com,Possible Cobalt Strike C2 Domain
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain
update.qq.com,Possible Cobalt Strike C2 Fronting Domain
updatelink.firefoxokt.top,Possible Cobalt Strike C2 Domain
usizevuru.biz,Possible Cobalt Strike C2 Fronted Domain
velmeded.com,Possible Cobalt Strike C2 Domain
veriernano.com,Possible Cobalt Strike C2 Domain
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
