#ip,ioc
172.93.189.47,Possible Cobaltstrike C2 IP
173.249.201.243,Possible Cobaltstrike C2 IP
175.178.0.88,Possible Cobaltstrike C2 IP
175.178.113.63,Possible Cobaltstrike C2 IP
175.178.116.88,Possible Cobaltstrike C2 IP
175.178.161.139,Possible Cobaltstrike C2 IP
175.178.17.166,Possible Cobaltstrike C2 IP
175.178.170.184,Possible Cobaltstrike C2 IP
175.178.174.131,Possible Cobaltstrike C2 IP
175.178.178.178,Possible Cobaltstrike C2 IP
175.178.180.234,Possible Cobaltstrike C2 IP
175.178.226.246,Possible Metasploit C2 IP
175.178.242.75,Possible Cobaltstrike C2 IP
175.178.26.48,Possible Cobaltstrike C2 IP
175.178.41.181,Possible Cobaltstrike C2 IP
175.178.5.19,Possible Cobaltstrike C2 IP
175.178.56.86,Possible Cobaltstrike C2 IP
175.178.74.238,Possible Cobaltstrike C2 IP
175.178.80.121,Possible Cobaltstrike C2 IP
175.178.85.54,Possible Cobaltstrike C2 IP
175.24.163.235,Possible Cobaltstrike C2 IP
175.24.184.174,Possible Cobaltstrike C2 IP
175.24.205.80,Possible Cobaltstrike C2 IP
175.24.207.93,Possible Cobaltstrike C2 IP
175.24.235.158,Possible Cobaltstrike C2 IP
175.27.224.35,Possible Cobaltstrike C2 IP
176.113.115.145,Possible Cobaltstrike C2 IP
176.119.159.141,Possible Cobaltstrike C2 IP
178.128.138.64,Possible Metasploit C2 IP
178.128.193.49,Possible Cobaltstrike C2 IP
178.128.59.129,Possible Cobaltstrike C2 IP
179.43.155.235,Possible Cobaltstrike C2 IP
179.60.150.57,Possible Cobaltstrike C2 IP
18.179.3.141,Possible Metasploit C2 IP
18.184.17.94,Possible Cobaltstrike C2 IP
18.205.163.231,Possible Cobaltstrike C2 IP
180.184.69.31,Possible Cobaltstrike C2 IP
180.76.146.71,Possible Cobaltstrike C2 IP
180.76.99.119,Possible Cobaltstrike C2 IP
181.214.39.102,Possible Cobaltstrike C2 IP
182.254.137.24,Possible Cobaltstrike C2 IP
182.255.45.119,Possible Cobaltstrike C2 IP
182.43.99.250,Possible Cobaltstrike C2 IP
182.61.16.51,Possible Cobaltstrike C2 IP
182.92.131.14,Possible Cobaltstrike C2 IP
