#domain,ioc,uri_path
ns1.xn--mil-ixy.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2016/12/29136388_
ns1.yahootk.tk,Possible Cobalt Strike C2 Domain,/api/v1/validexpose/biz/TREND_PROD/expsTrtr/TRPD03
ns1.zpepc.net,Possible Cobalt Strike C2 Domain,/api/x
ns188.pdota.top,Possible Cobalt Strike C2 Domain,/access/sso/
ns2.007work.icu,Possible Cobalt Strike C2 Domain,/load
ns2.227api.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
ns2.a1batr0ss.xyz,Possible Cobalt Strike C2 Domain,/pixel.gif
ns2.ace3.ru,Possible Cobalt Strike C2 Domain,/gmail/about/static-2.0/js/main.min.js
ns2.anaitea.com,Possible Cobalt Strike C2 Domain,/jquery.com/
ns2.bustring.com,Possible Cobalt Strike C2 Domain,/safebrowsing/QVXHQf/QVXHQfXdpinARC06MctcJ4hprcWoBIZaDp2-M
ns2.caigoupangza.top,Possible Cobalt Strike C2 Domain,/dpixel
ns2.cdnmax.info,Possible Cobalt Strike C2 Domain,/j.ad
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns2.chat666.live,Possible Cobalt Strike C2 Domain,/user/get
ns2.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates
ns2.corpais900.co,Possible Cobalt Strike C2 Domain,/
ns2.ctfer.club,Possible Cobalt Strike C2 Domain,/g.pixel
ns2.dilidili.shop,Possible Cobalt Strike C2 Domain,/activity
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/preload
ns2.emohack.xyz,Possible Cobalt Strike C2 Domain,/api/vs/asf/v1/6
ns2.fcdncloud.link,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB
ns2.gxyy77.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
